year,artist,song
2010,Alicia Keys,Un-Thinkable (I'm Ready)
2010,Usher,There Goes My Baby
2010,Melanie Fiona,It Kills Me
2010,Monica,Everything To Me
2010,Trey Songz Featuring Fabolous,Say Aah
2010,Trey Songz,Neighbors Know My Name
2010,Usher Featuring Plies,Hey Daddy (Daddy's Home)
2010,Mary J. Blige,I Am
2010,Chris Brown Featuring Tyga & Kevin McCall,Deuces
2010,Robin Thicke,Sex Therapy
2010,Monica,Love All Over Me
2010,Trey Songz Featuring Drake,I Invented Sex
2010,Ludacris,How Low
2010,Timbaland Featuring Drake,Say Something
2010,Drake,Find Your Love
2010,Drake,Over
2010,Ludacris Featuring Nicki Minaj,My Chick Bad
2010,Jaheim,Ain't Leavin Without You
2010,Young Jeezy Featuring Plies,Lose My Mind
2010,Alicia Keys,Try Sleeping With A Broken Heart
2010,Young Money Featuring Lloyd,BedRock
2010,Fantasia,Bittersweet
2010,Maxwell,Fistful Of Tears
2010,Drake Featuring Lil Wayne,Miss Me
2010,Rihanna,Rude Boy
2010,Nicki Minaj,Your Love
2010,Ciara Featuring Ludacris,Ride
2010,Jaheim,Finding My Way Back
2010,Usher Featuring will.i.am,OMG
2010,B.o.B Featuring Bruno Mars,Nothin' On You
2010,Trey Songz Featuring Nicki Minaj,Bottoms Up
2010,Usher Featuring Nicki Minaj,Lil Freak
2010,Maxwell,Bad Habits
2010,Birdman Featuring Lil Wayne & Drake,Money To Blow
2010,Drake Featuring T.I. & Swizz Beatz,Fancy
2010,Usher,Papers
2010,Sade,Soldier Of Love
2010,Jazmine Sullivan,Holding You Down (Goin In Circles)
2010,Ludacris Featuring Trey Songz,Sex Room
2010,Rick Ross Featuring Styles P,B.M.F. (Blowin' Money Fast)
2010,DJ Khaled Featuring T-Pain  Ludacris  Snoop Dogg & Rick Ross,All I Do Is Win
2010,Ne-Yo,Champagne Life
2010,Kem,Why Would You Stay?
2010,Trey Songz,Can't Be Friends
2010,Maxwell,Pretty Wings
2010,Erykah Badu,Window Seat
2010,Dondria,You're The One
2010,Waka Flocka Flame,O Let's Do It
2010,Jay-Z + Alicia Keys,Empire State Of Mind
2010,Young Money Featuring Gucci Mane,Steady Mobbin'
2010,Cali Swag District,Teach Me How To Dougie
2010,Soulja Boy Tell'em,Pretty Boy Swag
2010,T.I.,I'm Back
2010,Jay-Z + Swizz Beatz,On To The Next One
2010,T.I. Featuring Keri Hilson,Got Your Back
2010,Waka Flocka Flame Featuring Roscoe Dash & Wale,No Hands
2010,Snoop Dogg,I Wanna Rock
2010,Usher Featuring Jay-Z,Hot Tottie
2010,Eminem Featuring Rihanna,Love The Way You Lie
2010,Mary Mary Featuring Kierra "KiKi" Sheard,God In Me
2010,Lil Wayne Featuring Drake,Right Above It
2010,Lyfe Jennings,Statistics
2010,Gucci Mane,Lemonade
2010,50 Cent Featuring Ne-Yo,Baby By Me
2010,Diddy - Dirty Money Featuring T.I.,Hello Good Morning
2010,Rihanna Featuring Jeezy,Hard
2010,Roscoe Dash Featuring Soulja Boy Tell'em,All The Way Turnt Up
2010,The Black Eyed Peas,Imma Be
2010,Miguel Featuring J. Cole,All I Want Is You
2010,Corinne Bailey Rae,Closer
2010,BeBe & CeCe Winans,Close To You
2010,Rick Ross Featuring Drake & Chrisette Michele,Aston Martin Music
2010,Gucci Mane Featuring Plies Or OJ Da Juiceman,Wasted
2010,Gyptian,Hold You (Hold Yuh)
2010,Yo Gotti Featuring Lil Wayne,Women Lie  Men Lie
2010,Drake Featuring Kanye West  Lil Wayne & Eminem,Forever
2010,Eric Benet,Sometimes I Cry
2010,Lloyd Banks Featuring Juelz Santana,Beamer  Benz  Or Bentley
2010,Charlie Wilson,Can't Live Without You
2010,Mary J. Blige Featuring Trey Songz,We Got Hood Love
2010,Whitney Houston,Million Dollar Bill
2010,Young Money,Roger That
2010,Chris Brown Featuring Lil Wayne & Swizz Beatz,I Can Transform Ya
2010,Willow,Whip My Hair
2010,Lloyd,Lay It Down
2010,Teairra Mari Featuring Gucci Mane & Soulja Boy Tell'em,Sponsor
2010,Rick Ross Featuring Ne-Yo,Super High
2010,LeToya Featuring Ludacris,Regret
2010,Jeremih Featuring Ludacris,I Like
2010,Robin Thicke Featuring Snoop Dogg,It's In The Morning
2010,Kanye West,POWER
2010,Gucci Mane Featuring Usher,Spotlight
2010,Omarion,Speedin'
2010,Waka Flocka Flame,Hard In Da Paint
2010,Gerald Levert,Can It Stay
2010,Donell Jones,Love Like This
2010,Lil Wayne,I'm Single
2010,Dwele,What's Not To Love
2010,Gucci Mane Featuring Trey Songz,Beat It Up
2010,Toni Braxton,Hands Tied
2011,Miguel,Sure Thing
2011,Kelly Rowland Featuring Lil Wayne,Motivation
2011,Chris Brown Featuring Lil Wayne & Busta Rhymes,Look At Me Now
2011,DJ Khaled Featuring Drake  Rick Ross & Lil Wayne,I'm On One
2011,Marsha Ambrosius,Far Away
2011,Waka Flocka Flame Featuring Roscoe Dash & Wale,No Hands
2011,Big Sean Featuring Chris Brown,My Last
2011,Trey Songz,Can't Be Friends
2011,Nicki Minaj Featuring Drake,Moment 4 Life
2011,Chris Brown,She Ain't You
2011,Rick Ross Featuring Drake & Chrisette Michele,Aston Martin Music
2011,Kanye West,All Of The Lights
2011,Lil Wayne Featuring Cory Gunz,6 Foot 7 Foot
2011,Trey Songz,Love Faces
2011,Lil Wayne,How To Love
2011,Jamie Foxx Featuring Drake,Fall For Your Type
2011,Chris Brown,No BS
2011,Rihanna Featuring Drake,What's My Name?
2011,Keri Hilson,Pretty Girl Rock
2011,Jeremih Featuring 50 Cent,Down On Me
2011,Kirk Franklin,I Smile
2011,Twista Featuring Chris Brown,Make A Movie
2011,Jill Scott Featuring Anthony Hamilton,So In Love
2011,R. Kelly,Love Letter
2011,Beyonce,Best Thing I Never Had
2011,Miguel,Quickie
2011,Big Sean Featuring Kanye West & Roscoe Dash,Marvin & Chardonnay
2011,Nicki Minaj,Did It On'em
2011,Charlie Wilson,You Are
2011,Ace Hood,Hustle Hard
2011,Trey Songz Featuring Drake,Unusual
2011,Jay Z Kanye West Featuring Otis Redding,Otis
2011,Drake,Headlines
2011,Lil Wayne Featuring Drake,She Will
2011,Wale Featuring Jeremih & Rick Ross,That Way
2011,Mary Mary,Walking
2011,Fabolous,You Be Killin Em
2011,Lloyd,Lay It Down
2011,Lupe Fiasco Featuring Trey Songz,Out Of My Head
2011,Drake,Marvins Room
2011,Wiz Khalifa,Black And Yellow
2011,Nicki Minaj,Super Bass
2011,YC Featuring Future,Racks
2011,Chris Brown Featuring Tyga & Kevin McCall,Deuces
2011,Fantasia,I'm Doing Me
2011,Jay Z Kanye West,Ni**as in Paris
2011,Rihanna,Man Down
2011,Wiz Khalifa,Roll Up
2011,Chris Brown Featuring Ludacris,Wet The Bed
2011,Kem,Share My Life
2011,Nicki Minaj,Right Thru Me
2011,Travis Porter,Bring It Back
2011,Kelly Price Featuring Stokley,Not My Daddy
2011,Jennifer Hudson,Where You At
2011,Anthony David Featuring Algebra,4evermore
2011,Kem Featuring Chrisette Michele,If It's Love
2011,El Debarge Featuring Faith Evans,Lay With You
2011,Ledisi,Pieces Of Me
2011,Waka Flocka Flame Featuring Kebo Gotti,Grove St. Party
2011,Beyonce Featuring Andre 3000,Party
2011,Ne-Yo,One In A Million
2011,Mindless Behavior Featuring Diggy,Mrs. Right
2011,Ace Hood Featuring Chris Brown,Body 2 Body
2011,Lil Wayne Featuring Rick Ross,John
2011,Jamie Foxx Featuring Wiz Khalifa,Best Night Of My Life
2011,Lloyd Featuring Awesome Jones,Cupid
2011,Jazmine Sullivan,10 Seconds
2011,Usher,There Goes My Baby
2011,Charlie Wilson,Life Of The Party
2011,Lil Wayne Featuring Drake,Right Above It
2011,Musiq Soulchild,Yes
2011,Travis Porter,Make It Rain
2011,Trey Songz Featuring Nicki Minaj,Bottoms Up
2011,Jennifer Hudson,No One Gonna Love You
2011,R. Kelly,When A Woman Loves
2011,Willow,Whip My Hair
2011,Miguel Featuring J. Cole,All I Want Is You
2011,DJ Drama Featuring Fabolous  Roscoe Dash & Wiz Khalifa,Oh My
2011,Cee Lo Green Featuring Melanie Fiona or Phillip Bailey,Fool For You
2011,Young Jeezy Featuring Lil Wayne,Ballin'
2011,R. Kelly,Radio Message
2011,Bobby V,Words
2011,Frank Ocean,Novacane
2011,J. Cole,Work Out
2011,Keyshia Cole,Take Me Away
2011,Keri Hilson Featuring Chris Brown,One Night Stand
2011,Wiz Khalifa Featuring Too $hort,On My Level
2011,Eric Benet,Sometimes I Cry
2011,Diddy - Dirty Money Featuring Trey Songz,Your Love
2011,Tank,Emergency
2011,Monica,Love All Over Me
2011,Lloyd Banks Featuring Jeremih,I Don't Deserve You
2011,DJ Khaled Featuring Rick Ross  Plies  Lil Wayne & T-Pain,Welcome To My Hood
2011,Musiq Soulchild Featuring Swizz Beats,Anything
2011,Kanye West Jay Z,H*A*M
2011,Birdman Featuring Lil Wayne,Fire Flame
2011,Diddy - Dirty Money Featuring Drake,Loving You No More
2011,Mary J. Blige Featuring Diddy & Lil Wayne,Someone To Love Me (Naked)
2011,Ne-Yo,Champagne Life
2012,Beyonce,Love On Top
2012,Usher,Climax
2012,Wale Featuring Miguel,Lotus Flower Bomb
2012,Drake Featuring Lil Wayne,The Motto
2012,Kanye West  Big Sean  Pusha T  2 Chainz,Mercy
2012,Miguel,Adorn
2012,Trey Songz,Heart Attack
2012,2 Chainz Featuring Drake,No Lie
2012,Chris Brown Featuring Kevin K-MAC McCall,Strip
2012,Drake Featuring Nicki Minaj,Make Me Proud
2012,Jay Z Kanye West,Ni**as in Paris
2012,J. Cole Featuring Missy Elliott,Nobody's Perfect
2012,Kirko Bangz,Drank In My Cup
2012,Usher Featuring Rick Ross,Lemme See
2012,Rihanna Featuring Chris Brown,Birthday Cake
2012,Ca$h Out,Cashin' Out
2012,Beyonce Featuring Andre 3000,Party
2012,LoveRance Featuring IamSu & Skipper or 50 Cent,UP!
2012,Fat Joe Featuring Chris Brown,Another Round
2012,Big Sean Featuring Nicki Minaj,Dance (A$$)
2012,Young Jeezy Featuring Ne-Yo,Leave You Alone
2012,Tyrese,Stay
2012,Wale Featuring Rick Ross  Meek Mill & T-Pain,Bag Of Money
2012,Estelle,Thank You
2012,J. Cole Featuring Trey Songz,Can't Get Enough
2012,Mary J. Blige Featuring Drake,Mr. Wrong
2012,John Legend Featuring Ludacris,Tonight (Best You Ever Had)
2012,Young Jeezy Featuring Jay-Z & Andre 3000,I Do
2012,DJ Khaled Featuring Chris Brown  Rick Ross  Nicki Minaj & Lil Wayne,Take It To The Head
2012,French Montana Featuring Rick Ross  Drake  Lil Wayne,Pop That
2012,Tyga,Rack City
2012,Drake Featuring The Weeknd,Crew Love
2012,Beyonce,Dance For You
2012,Brandy Featuring Chris Brown,Put It Down
2012,Future,Turn On The Lights
2012,Rick Ross Featuring Nicki Minaj,You The Boss
2012,Travis Porter Featuring Tyga,Ayy Ladies
2012,Wale Featuring Jeremih & Rick Ross,That Way
2012,Trey Songz,Sex Ain't Better Than Love
2012,Meek Mill Featuring Drake,Amen
2012,Anthony Hamilton,Pray For Me
2012,Robin Thicke,Love After War
2012,Trey Songz,Dive In
2012,Nicki Minaj Featuring 2 Chainz,Beez In The Trap
2012,Frank Ocean,Thinkin Bout You
2012,Elle Varner,Refill
2012,Juicy J Featuring Lil Wayne & 2 Chainz,Bandz A Make Her Dance
2012,Lil Wayne Featuring Drake,She Will
2012,Keyshia Cole Featuring Lil Wayne,Enough Of No Love
2012,Cee Lo Green Featuring Melanie Fiona or Phillip Bailey,Fool For You
2012,Drake,Headlines
2012,Trey Songz Featuring T.I.,2 Reasons
2012,Diggy Featuring Jeremih,Do It Like You
2012,Drake Featuring Rihanna,Take Care
2012,Waka Flocka Flame Featuring Drake,Round Of Applause
2012,Future Featuring T.I.,Magic
2012,2 Chainz Featuring Kanye West,Birthday Song
2012,Kanye West  Jay-Z  Big Sean,Clique
2012,Jay Z Kanye West,Gotta Have It
2012,R. Kelly,Share My Love
2012,Beyonce,Countdown
2012,Future,Same Damn Time
2012,J. Cole,Work Out
2012,Wiz Khalifa,Work Hard  Play Hard
2012,R. Kelly,Feelin' Single
2012,Jill Scott,Blessed
2012,Anthony Hamilton,Woo
2012,Kem,You're On My Mind
2012,Anita Baker,Lately
2012,T-Pain Featuring Wiz Khalifa & Lily Allen,5 O'Clock
2012,Rick Ross Featuring Usher,Touch'N You
2012,Rihanna Featuring Jay-Z,Talk That Talk
2012,Mary Mary,Go Get It
