year,artist,song
2010,Ke$ha,TiK ToK
2010,Lady Antebellum,Need You Now
2010,Train,Hey  Soul Sister
2010,Katy Perry Featuring Snoop Dogg,California Gurls
2010,Usher Featuring will.i.am,OMG
2010,B.o.B Featuring Hayley Williams,Airplanes
2010,Eminem Featuring Rihanna,Love The Way You Lie
2010,Lady Gaga,Bad Romance
2010,Taio Cruz,Dynamite
2010,Taio Cruz Featuring Ludacris,Break Your Heart
2010,B.o.B Featuring Bruno Mars,Nothin' On You
2010,Enrique Iglesias Featuring Pitbull,I Like It
2010,Young Money Featuring Lloyd,BedRock
2010,Jason Derulo,In My Head
2010,Rihanna,Rude Boy
2010,Lady Gaga Featuring Beyonce,Telephone
2010,Katy Perry,Teenage Dream
2010,Bruno Mars,Just The Way You Are
2010,Mike Posner,Cooler Than Me
2010,The Black Eyed Peas,Imma Be
2010,Jay-Z + Alicia Keys,Empire State Of Mind
2010,Usher Featuring Pitbull,DJ Got Us Fallin' In Love
2010,Travie McCoy Featuring Bruno Mars,Billionaire
2010,Eminem,Not Afraid
2010,Iyaz,Replay
2010,David Guetta Featuring Akon,Sexy Chick
2010,The Script,Breakeven
2010,Ke$ha,Your Love Is My Drug
2010,The Black Eyed Peas,I Gotta Feeling
2010,Owl City,Fireflies
2010,Trey Songz Featuring Fabolous,Say Aah
2010,Drake,Find Your Love
2010,Lady Gaga,Alejandro
2010,Jason Derulo,Ridin' Solo
2010,Nelly,Just A Dream
2010,Ludacris,How Low
2010,Far*East Movement Featuring Cataracs & Dev,Like A G6
2010,Timbaland Featuring Justin Timberlake,Carry Out
2010,Michael Buble,Haven't Met You Yet
2010,Flo Rida Featuring David Guetta,Club Can't Handle Me
2010,Jay Sean Featuring Lil Wayne,Down
2010,La Roux,Bulletproof
2010,Jason Derulo,Whatcha Say
2010,Justin Bieber Featuring Ludacris,Baby
2010,Adam Lambert,Whataya Want From Me
2010,Taylor Swift,Mine
2010,Rihanna,Only Girl (In The World)
2010,Kris Allen,Live Like We're Dying
2010,Rihanna Featuring Jeezy,Hard
2010,Jay-Z + Mr. Hudson,Young Forever
2010,Ke$ha Featuring 3OH!3,Blah Blah Blah
2010,Trey Songz Featuring Nicki Minaj,Bottoms Up
2010,Jay Sean Featuring Sean Paul & Lil Jon,Do You Remember
2010,OneRepublic,All The Right Moves
2010,Orianthi,According To You
2010,Ludacris Featuring Nicki Minaj,My Chick Bad
2010,Taylor Swift,You Belong With Me
2010,The Black Eyed Peas,Meet Me Halfway
2010,Ke$ha,Take It Off
2010,Drake,Over
2010,Neon Trees,Animal
2010,Maroon 5,Misery
2010,B.o.B Featuring Rivers Cuomo,Magic
2010,Lady Gaga,Paparazzi
2010,New Boyz Featuring Ray J,Tie Me Down
2010,Nicki Minaj,Your Love
2010,Miley Cyrus,Party In The U.S.A.
2010,Chris Brown Featuring Tyga & Kevin McCall,Deuces
2010,Britney Spears,3
2010,Shontelle,Impossible
2010,Drake Featuring Kanye West  Lil Wayne & Eminem,Forever
2010,Boys Like Girls Featuring Taylor Swift,Two Is Better Than One
2010,3OH!3 Featuring Ke$ha,My First Kiss
2010,Kelly Clarkson,Already Gone
2010,The Black Eyed Peas,Rock That Body
2010,OneRepublic,Secrets
2010,Selena Gomez & The Scene,Naturally
2010,Alicia Keys,Un-Thinkable (I'm Ready)
2010,DJ Khaled Featuring T-Pain  Ludacris  Snoop Dogg & Rick Ross,All I Do Is Win
2010,Kevin Rudolf Featuring Birdman  Jay Sean  & Lil Wayne,I Made It (Cash Money Heroes)
2010,Sugarland,Stuck Like Glue
2010,Usher Featuring Plies,Hey Daddy (Daddy's Home)
2010,Usher,There Goes My Baby
2010,Taylor Swift,Today Was A Fairytale
2010,Timbaland Featuring Drake,Say Something
2010,Beyonce,Sweet Dreams
2010,Kings Of Leon,Use Somebody
2010,Carrie Underwood,Undo It
2010,Sean Kingston & Justin Bieber,Eenie Meenie
2010,Lil Wayne Featuring Drake,Right Above It
2010,Miranda Lambert,The House That Built Me
2010,The Band Perry,If I Die Young
2010,Paramore,The Only Exception
2010,Lady Antebellum,American Honey
2010,Sara Bareilles,King Of Anything
2010,Daughtry,Life After You
2010,Uncle Kracker,Smile
2010,Cali Swag District,Teach Me How To Dougie
2010,Alicia Keys,Try Sleeping With A Broken Heart
2010,Jerrod Niemann,Lover  Lover
2011,Adele,Rolling In The Deep
2011,LMFAO Featuring Lauren Bennett & GoonRock,Party Rock Anthem
2011,Katy Perry,Firework
2011,Katy Perry Featuring Kanye West,E.T.
2011,Pitbull Featuring Ne-Yo  Afrojack & Nayer,Give Me Everything
2011,Bruno Mars,Grenade
2011,Nicki Minaj,Super Bass
2011,Maroon 5 Featuring Christina Aguilera,Moves Like Jagger
2011,The Black Eyed Peas,Just Can't Get Enough
2011,Jennifer Lopez Featuring Pitbull,On The Floor
2011,Rihanna,S&M
2011,Foster The People,Pumped Up Kicks
2011,Katy Perry,Last Friday Night (T.G.I.F.)
2011,Bruno Mars,Just The Way You Are
2011,Enrique Iglesias Featuring Ludacris & DJ Frank E,Tonight (I'm Lovin' You)
2011,P!nk,Raise Your Glass
2011,Lady Gaga,Born This Way
2011,P!nk,F**kin' Perfect
2011,Rihanna Featuring Drake,What's My Name?
2011,Chris Brown Featuring Lil Wayne & Busta Rhymes,Look At Me Now
2011,Jeremih Featuring 50 Cent,Down On Me
2011,Lil Wayne,How To Love
2011,Adele,Someone Like You
2011,OneRepublic,Good Life
2011,Bruno Mars,The Lazy Song
2011,Britney Spears,Till The World Ends
2011,Lupe Fiasco,The Show Goes On
2011,Lady Gaga,The Edge Of Glory
2011,Ke$ha,We R Who We R
2011,Wiz Khalifa,Black And Yellow
2011,Hot Chelle Rae,Tonight Tonight
