,year,artist,song,track_id,acousticness,analysis_url,danceability,duration_ms,energy,error,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,2010,Ke$ha,TiK ToK,5OMwQFBcte0aWFJFqrr5oj,0.0746,https://api.spotify.com/v1/audio-analysis/5OMwQFBcte0aWFJFqrr5oj,0.755,199693.0,0.832,,5OMwQFBcte0aWFJFqrr5oj,1.27e-06,2.0,0.291,-2.741,0.0,0.116,120.032,4.0,https://api.spotify.com/v1/tracks/5OMwQFBcte0aWFJFqrr5oj,audio_features,spotify:track:5OMwQFBcte0aWFJFqrr5oj,0.735
1,2010,Lady Antebellum,Need You Now,11EX5yhxr9Ihl3IN1asrfK,0.0927,https://api.spotify.com/v1/audio-analysis/11EX5yhxr9Ihl3IN1asrfK,0.587,277573.0,0.622,,11EX5yhxr9Ihl3IN1asrfK,0.000636,4.0,0.2,-5.535,1.0,0.0303,107.943,4.0,https://api.spotify.com/v1/tracks/11EX5yhxr9Ihl3IN1asrfK,audio_features,spotify:track:11EX5yhxr9Ihl3IN1asrfK,0.231
2,2010,Train,Hey  Soul Sister,4HlFJV71xXKIGcU3kRyttv,0.185,https://api.spotify.com/v1/audio-analysis/4HlFJV71xXKIGcU3kRyttv,0.673,216773.0,0.886,,4HlFJV71xXKIGcU3kRyttv,0.0,1.0,0.0826,-4.44,0.0,0.0431,97.012,4.0,https://api.spotify.com/v1/tracks/4HlFJV71xXKIGcU3kRyttv,audio_features,spotify:track:4HlFJV71xXKIGcU3kRyttv,0.795
3,2010,Katy Perry Featuring Snoop Dogg,California Gurls,6tS3XVuOyu10897O3ae7bi,0.00446,https://api.spotify.com/v1/audio-analysis/6tS3XVuOyu10897O3ae7bi,0.791,234653.0,0.754,,6tS3XVuOyu10897O3ae7bi,0.0,0.0,0.163,-3.729,1.0,0.0569,125.014,4.0,https://api.spotify.com/v1/tracks/6tS3XVuOyu10897O3ae7bi,audio_features,spotify:track:6tS3XVuOyu10897O3ae7bi,0.425
4,2010,Usher Featuring will.i.am,OMG,1bM50INir8voAkVoKuvEUI,0.198,https://api.spotify.com/v1/audio-analysis/1bM50INir8voAkVoKuvEUI,0.781,269493.0,0.745,,1bM50INir8voAkVoKuvEUI,1.14e-05,4.0,0.36,-5.81,0.0,0.0332,129.998,4.0,https://api.spotify.com/v1/tracks/1bM50INir8voAkVoKuvEUI,audio_features,spotify:track:1bM50INir8voAkVoKuvEUI,0.326
5,2010,B.o.B Featuring Hayley Williams,Airplanes,6lV2MSQmRIkycDScNtrBXO,0.11,https://api.spotify.com/v1/audio-analysis/6lV2MSQmRIkycDScNtrBXO,0.66,180480.0,0.867,,6lV2MSQmRIkycDScNtrBXO,0.0,6.0,0.0368,-4.285,0.0,0.116,93.033,4.0,https://api.spotify.com/v1/tracks/6lV2MSQmRIkycDScNtrBXO,audio_features,spotify:track:6lV2MSQmRIkycDScNtrBXO,0.377
6,2010,Eminem Featuring Rihanna,Love The Way You Lie,15JINEqzVMv3SvJTAXAKED,0.241,https://api.spotify.com/v1/audio-analysis/15JINEqzVMv3SvJTAXAKED,0.749,263373.0,0.925,,15JINEqzVMv3SvJTAXAKED,0.0,10.0,0.52,-5.034,1.0,0.227,86.989,4.0,https://api.spotify.com/v1/tracks/15JINEqzVMv3SvJTAXAKED,audio_features,spotify:track:15JINEqzVMv3SvJTAXAKED,0.641
7,2010,Lady Gaga,Bad Romance,5P5cGNzqh6A353N3ShDK6Y,0.00305,https://api.spotify.com/v1/audio-analysis/5P5cGNzqh6A353N3ShDK6Y,0.697,294573.0,0.921,,5P5cGNzqh6A353N3ShDK6Y,3.65e-05,0.0,0.0831,-3.75,1.0,0.0391,118.99,4.0,https://api.spotify.com/v1/tracks/5P5cGNzqh6A353N3ShDK6Y,audio_features,spotify:track:5P5cGNzqh6A353N3ShDK6Y,0.721
8,2010,Taio Cruz,Dynamite,1DqdF42leyFIzqNDv9CjId,0.00332,https://api.spotify.com/v1/audio-analysis/1DqdF42leyFIzqNDv9CjId,0.754,203867.0,0.804,,1DqdF42leyFIzqNDv9CjId,0.0,4.0,0.0329,-3.177,1.0,0.0853,119.968,4.0,https://api.spotify.com/v1/tracks/1DqdF42leyFIzqNDv9CjId,audio_features,spotify:track:1DqdF42leyFIzqNDv9CjId,0.818
9,2010,Taio Cruz Featuring Ludacris,Break Your Heart,1CdqVF1ywD0ZO1zXtB9yWa,0.00155,https://api.spotify.com/v1/audio-analysis/1CdqVF1ywD0ZO1zXtB9yWa,0.666,186267.0,0.899,,1CdqVF1ywD0ZO1zXtB9yWa,0.0,8.0,0.0677,-4.676,1.0,0.028,122.05,4.0,https://api.spotify.com/v1/tracks/1CdqVF1ywD0ZO1zXtB9yWa,audio_features,spotify:track:1CdqVF1ywD0ZO1zXtB9yWa,0.629
10,2010,B.o.B Featuring Bruno Mars,Nothin' On You,59dLtGBS26x7kc0rHbaPrq,0.386,https://api.spotify.com/v1/audio-analysis/59dLtGBS26x7kc0rHbaPrq,0.688,268320.0,0.853,,59dLtGBS26x7kc0rHbaPrq,0.0,10.0,0.0862,-5.814,1.0,0.0493,103.993,4.0,https://api.spotify.com/v1/tracks/59dLtGBS26x7kc0rHbaPrq,audio_features,spotify:track:59dLtGBS26x7kc0rHbaPrq,0.743
11,2010,Enrique Iglesias Featuring Pitbull,I Like It,4nVyHATevhl5RC6Qmoko5H,0.0253,https://api.spotify.com/v1/audio-analysis/4nVyHATevhl5RC6Qmoko5H,0.659,231787.0,0.935,,4nVyHATevhl5RC6Qmoko5H,0.0,10.0,0.0653,-2.739,0.0,0.107,129.048,4.0,https://api.spotify.com/v1/tracks/4nVyHATevhl5RC6Qmoko5H,audio_features,spotify:track:4nVyHATevhl5RC6Qmoko5H,0.73
12,2010,Young Money Featuring Lloyd,BedRock,3iL2l5gUqyPS6vDwJFgJTR,0.109,https://api.spotify.com/v1/audio-analysis/3iL2l5gUqyPS6vDwJFgJTR,0.732,288133.0,0.659,,3iL2l5gUqyPS6vDwJFgJTR,0.0,8.0,0.141,-6.089,1.0,0.225,148.001,4.0,https://api.spotify.com/v1/tracks/3iL2l5gUqyPS6vDwJFgJTR,audio_features,spotify:track:3iL2l5gUqyPS6vDwJFgJTR,0.575
13,2010,Jason Derulo,In My Head,5BoIP8Eha5hwmRVURkC2Us,0.0266,https://api.spotify.com/v1/audio-analysis/5BoIP8Eha5hwmRVURkC2Us,0.762,199027.0,0.748,,5BoIP8Eha5hwmRVURkC2Us,0.0,0.0,0.348,-4.15,0.0,0.033,110.009,4.0,https://api.spotify.com/v1/tracks/5BoIP8Eha5hwmRVURkC2Us,audio_features,spotify:track:5BoIP8Eha5hwmRVURkC2Us,0.851
14,2010,Rihanna,Rude Boy,60jzFy6Nn4M0iD1d94oteF,0.113,https://api.spotify.com/v1/audio-analysis/60jzFy6Nn4M0iD1d94oteF,0.563,222920.0,0.75,,60jzFy6Nn4M0iD1d94oteF,0.0,11.0,0.0788,-4.496,1.0,0.127,173.906,4.0,https://api.spotify.com/v1/tracks/60jzFy6Nn4M0iD1d94oteF,audio_features,spotify:track:60jzFy6Nn4M0iD1d94oteF,0.812
15,2010,Lady Gaga Featuring Beyonce,Telephone,1IaYWv32nFFMdljBIjMY5T,0.00748,https://api.spotify.com/v1/audio-analysis/1IaYWv32nFFMdljBIjMY5T,0.827,220627.0,0.821,,1IaYWv32nFFMdljBIjMY5T,0.0015,3.0,0.115,-5.864,1.0,0.0419,122.017,4.0,https://api.spotify.com/v1/tracks/1IaYWv32nFFMdljBIjMY5T,audio_features,spotify:track:1IaYWv32nFFMdljBIjMY5T,0.684
