year,artist,song,track_id,rank,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
2010,Lee Brice,Love Like Crazy,6Ozp6ac86CSHMik8lbvJuM,1,0.0203,https://api.spotify.com/v1/audio-analysis/6Ozp6ac86CSHMik8lbvJuM,0.535,217387.0,0.725,6Ozp6ac86CSHMik8lbvJuM,1.45e-05,10.0,0.176,-5.108,1.0,0.0275,78.489,4.0,https://api.spotify.com/v1/tracks/6Ozp6ac86CSHMik8lbvJuM,audio_features,spotify:track:6Ozp6ac86CSHMik8lbvJuM,0.292
2010,Luke Bryan,Rain Is A Good Thing,1YhFtqwcN138S6ng3MT1nN,2,0.105,https://api.spotify.com/v1/audio-analysis/1YhFtqwcN138S6ng3MT1nN,0.622,176160.0,0.932,1YhFtqwcN138S6ng3MT1nN,2.37e-06,11.0,0.328,-4.66,0.0,0.0498,108.051,4.0,https://api.spotify.com/v1/tracks/1YhFtqwcN138S6ng3MT1nN,audio_features,spotify:track:1YhFtqwcN138S6ng3MT1nN,0.519
2010,Josh Turner,Why Don't We Just Dance,2p07VcUwRZ5sru3mJ0JogS,3,0.42,https://api.spotify.com/v1/audio-analysis/2p07VcUwRZ5sru3mJ0JogS,0.677,192800.0,0.776,2p07VcUwRZ5sru3mJ0JogS,0.000689,5.0,0.0954,-5.933,1.0,0.0386,121.834,4.0,https://api.spotify.com/v1/tracks/2p07VcUwRZ5sru3mJ0JogS,audio_features,spotify:track:2p07VcUwRZ5sru3mJ0JogS,0.642
2010,Josh Turner,All Over Me,1s8DkdE3uOWrGU7vonKrbK,4,0.403,https://api.spotify.com/v1/audio-analysis/1s8DkdE3uOWrGU7vonKrbK,0.546,199493.0,0.776,1s8DkdE3uOWrGU7vonKrbK,0.00633,1.0,0.193,-7.359,1.0,0.0352,169.847,4.0,https://api.spotify.com/v1/tracks/1s8DkdE3uOWrGU7vonKrbK,audio_features,spotify:track:1s8DkdE3uOWrGU7vonKrbK,0.888
2010,Chris Young,The Man I Want To Be,28Sc21lrWcZD9Ov4rRkPJq,5,0.44,https://api.spotify.com/v1/audio-analysis/28Sc21lrWcZD9Ov4rRkPJq,0.639,212133.0,0.678,28Sc21lrWcZD9Ov4rRkPJq,1.45e-06,7.0,0.221,-5.02,1.0,0.0278,106.966,4.0,https://api.spotify.com/v1/tracks/28Sc21lrWcZD9Ov4rRkPJq,audio_features,spotify:track:28Sc21lrWcZD9Ov4rRkPJq,0.531
2010,Easton Corbin,Roll With It,7bNX2Fgb4MjPrYbkHaCNwV,6,0.126,https://api.spotify.com/v1/audio-analysis/7bNX2Fgb4MjPrYbkHaCNwV,0.709,207587.0,0.643,7bNX2Fgb4MjPrYbkHaCNwV,0.0,5.0,0.256,-7.676,1.0,0.0274,119.99,4.0,https://api.spotify.com/v1/tracks/7bNX2Fgb4MjPrYbkHaCNwV,audio_features,spotify:track:7bNX2Fgb4MjPrYbkHaCNwV,0.515
2010,Joe Nichols,Gimmie That Girl,4bT9arnOOeRLIn52sLjTIh,7,0.237,https://api.spotify.com/v1/audio-analysis/4bT9arnOOeRLIn52sLjTIh,0.56,185333.0,0.877,4bT9arnOOeRLIn52sLjTIh,0.000357,2.0,0.865,-4.115,1.0,0.0966,81.019,4.0,https://api.spotify.com/v1/tracks/4bT9arnOOeRLIn52sLjTIh,audio_features,spotify:track:4bT9arnOOeRLIn52sLjTIh,0.663
2010,Blake Shelton,All About Tonight,15fZHvjZXoAILTvmt4EXIk,8,0.409,https://api.spotify.com/v1/audio-analysis/15fZHvjZXoAILTvmt4EXIk,0.412,187733.0,0.457,15fZHvjZXoAILTvmt4EXIk,0.0187,4.0,0.0978,-9.142,1.0,0.0288,74.824,4.0,https://api.spotify.com/v1/tracks/15fZHvjZXoAILTvmt4EXIk,audio_features,spotify:track:15fZHvjZXoAILTvmt4EXIk,0.202
2010,Darius Rucker,Come Back Song,4sHOAALFZiNa4wukjPSBpq,9,0.138,https://api.spotify.com/v1/audio-analysis/4sHOAALFZiNa4wukjPSBpq,0.516,235147.0,0.745,4sHOAALFZiNa4wukjPSBpq,0.0,9.0,0.114,-5.674,1.0,0.0381,177.781,4.0,https://api.spotify.com/v1/tracks/4sHOAALFZiNa4wukjPSBpq,audio_features,spotify:track:4sHOAALFZiNa4wukjPSBpq,0.77
2010,Clay Walker,She Won't Be Lonely Long,0158TMiGmHyibaDeaUKayX,10,0.00643,https://api.spotify.com/v1/audio-analysis/0158TMiGmHyibaDeaUKayX,0.635,209253.0,0.758,0158TMiGmHyibaDeaUKayX,0.0,7.0,0.229,-5.772,1.0,0.0243,113.002,4.0,https://api.spotify.com/v1/tracks/0158TMiGmHyibaDeaUKayX,audio_features,spotify:track:0158TMiGmHyibaDeaUKayX,0.322
