year,artist,song,track_id,rank,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
2010,Enrique Iglesias Featuring Juan Luis Guerra,Cuando Me Enamoro,79gkHjNTSyGPXEyGkNQ8zH,1,0.0142,https://api.spotify.com/v1/audio-analysis/79gkHjNTSyGPXEyGkNQ8zH,0.822,200347.0,0.799,79gkHjNTSyGPXEyGkNQ8zH,2.71e-05,1.0,0.167,-3.612,1.0,0.0278,126.04,4.0,https://api.spotify.com/v1/tracks/79gkHjNTSyGPXEyGkNQ8zH,audio_features,spotify:track:79gkHjNTSyGPXEyGkNQ8zH,0.902
2010,La Original Banda el Limon de Salvador Lizarraga,Al Menos,5CaZLhNhjJOowJKPOfxMoY,2,0.694,https://api.spotify.com/v1/audio-analysis/5CaZLhNhjJOowJKPOfxMoY,0.704,182600.0,0.615,5CaZLhNhjJOowJKPOfxMoY,0.0,0.0,0.118,-3.115,1.0,0.0389,132.143,3.0,https://api.spotify.com/v1/tracks/5CaZLhNhjJOowJKPOfxMoY,audio_features,spotify:track:5CaZLhNhjJOowJKPOfxMoY,0.937
2010,Aventura,Dile Al Amor,2Bhmj4XK33InfhqKPxcJ1v,3,0.0764,https://api.spotify.com/v1/audio-analysis/2Bhmj4XK33InfhqKPxcJ1v,0.825,229360.0,0.605,2Bhmj4XK33InfhqKPxcJ1v,0.0,11.0,0.314,-9.71,1.0,0.0376,124.005,4.0,https://api.spotify.com/v1/tracks/2Bhmj4XK33InfhqKPxcJ1v,audio_features,spotify:track:2Bhmj4XK33InfhqKPxcJ1v,0.944
2010,Banda El Recodo de Cruz Lizarraga,Dime Que Me Quieres,08y15vA9z97sfaj82n3j8w,4,0.498,https://api.spotify.com/v1/audio-analysis/08y15vA9z97sfaj82n3j8w,0.62,189693.0,0.836,08y15vA9z97sfaj82n3j8w,2.21e-06,2.0,0.309,-0.021,1.0,0.0329,150.299,4.0,https://api.spotify.com/v1/tracks/08y15vA9z97sfaj82n3j8w,audio_features,spotify:track:08y15vA9z97sfaj82n3j8w,0.962
2010,Chino & Nacho,Nina Bonita,7yfqSEIbOlSnWQtbQTvEAm,5,0.271,https://api.spotify.com/v1/audio-analysis/7yfqSEIbOlSnWQtbQTvEAm,0.536,215363.0,0.747,7yfqSEIbOlSnWQtbQTvEAm,0.0,9.0,0.0737,-2.443,0.0,0.0376,82.774,3.0,https://api.spotify.com/v1/tracks/7yfqSEIbOlSnWQtbQTvEAm,audio_features,spotify:track:7yfqSEIbOlSnWQtbQTvEAm,0.966
2010,Banda Los Recoditos,Ando Bien Pedo,58rgceeiYu1wFneDP2j5LJ,6,0.534,https://api.spotify.com/v1/audio-analysis/58rgceeiYu1wFneDP2j5LJ,0.738,144147.0,0.849,58rgceeiYu1wFneDP2j5LJ,1.07e-06,3.0,0.0821,-3.057,1.0,0.136,165.889,3.0,https://api.spotify.com/v1/tracks/58rgceeiYu1wFneDP2j5LJ,audio_features,spotify:track:58rgceeiYu1wFneDP2j5LJ,0.961
2010,El Trono de Mexico,Te Recordare,4KKuTZghPZvjDoMBIIR2g1,8,0.161,https://api.spotify.com/v1/audio-analysis/4KKuTZghPZvjDoMBIIR2g1,0.727,200400.0,0.594,4KKuTZghPZvjDoMBIIR2g1,9.27e-05,0.0,0.198,-5.107,1.0,0.0336,135.137,4.0,https://api.spotify.com/v1/tracks/4KKuTZghPZvjDoMBIIR2g1,audio_features,spotify:track:4KKuTZghPZvjDoMBIIR2g1,0.966
2010,Chuy Lizarraga y Su Banda Tierra Sinaloense,La Peinada,1Lp14SCjlGEvGSC4uDwrpD,9,0.649,https://api.spotify.com/v1/audio-analysis/1Lp14SCjlGEvGSC4uDwrpD,0.65,204640.0,0.713,1Lp14SCjlGEvGSC4uDwrpD,0.0,0.0,0.317,-4.808,0.0,0.104,77.368,4.0,https://api.spotify.com/v1/tracks/1Lp14SCjlGEvGSC4uDwrpD,audio_features,spotify:track:1Lp14SCjlGEvGSC4uDwrpD,0.88
2010,Aventura,El Malo,217bRMES4HVbPdUe8l8ECN,10,0.143,https://api.spotify.com/v1/audio-analysis/217bRMES4HVbPdUe8l8ECN,0.812,238720.0,0.506,217bRMES4HVbPdUe8l8ECN,0.0,1.0,0.132,-10.729,1.0,0.0533,125.941,4.0,https://api.spotify.com/v1/tracks/217bRMES4HVbPdUe8l8ECN,audio_features,spotify:track:217bRMES4HVbPdUe8l8ECN,0.701
2010,Los Titanes de Durango,El Enamorado,0CcFhIRRW468bAlAwD9FFs,11,0.295,https://api.spotify.com/v1/audio-analysis/0CcFhIRRW468bAlAwD9FFs,0.662,154587.0,0.971,0CcFhIRRW468bAlAwD9FFs,0.0,10.0,0.0884,-3.074,1.0,0.0582,81.764,3.0,https://api.spotify.com/v1/tracks/0CcFhIRRW468bAlAwD9FFs,audio_features,spotify:track:0CcFhIRRW468bAlAwD9FFs,0.971
