year,artist,song,track_id,acousticness,analysis_url,danceability,duration_ms,energy,error,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
2010,Alicia Keys,Un-Thinkable (I'm Ready),4JOP8ELK6AaeySe7sKe996,0.732,https://api.spotify.com/v1/audio-analysis/4JOP8ELK6AaeySe7sKe996,0.595,249240,0.507,,4JOP8ELK6AaeySe7sKe996,1.97E-05,7,0.106,-7.892,1,0.0618,86.099,4,https://api.spotify.com/v1/tracks/4JOP8ELK6AaeySe7sKe996,audio_features,spotify:track:4JOP8ELK6AaeySe7sKe996,0.337
2010,Usher,There Goes My Baby,6IUiqtI8tE49sqGbmtrNd8,0.175,https://api.spotify.com/v1/audio-analysis/6IUiqtI8tE49sqGbmtrNd8,0.626,281293,0.52,,6IUiqtI8tE49sqGbmtrNd8,0,9,0.13,-8.077,0,0.0892,77.468,4,https://api.spotify.com/v1/tracks/6IUiqtI8tE49sqGbmtrNd8,audio_features,spotify:track:6IUiqtI8tE49sqGbmtrNd8,0.257
2010,Melanie Fiona,It Kills Me,6qU37BgVfPhpb2rhYzZWrF,0.215,https://api.spotify.com/v1/audio-analysis/6qU37BgVfPhpb2rhYzZWrF,0.62,250413,0.789,,6qU37BgVfPhpb2rhYzZWrF,0,8,0.1,-4.265,1,0.0469,107.359,4,https://api.spotify.com/v1/tracks/6qU37BgVfPhpb2rhYzZWrF,audio_features,spotify:track:6qU37BgVfPhpb2rhYzZWrF,0.444
2010,Monica,Everything To Me,4ZOkuIDN8wRczzu1XUYC4y,0.479,https://api.spotify.com/v1/audio-analysis/4ZOkuIDN8wRczzu1XUYC4y,0.308,196960,0.529,,4ZOkuIDN8wRczzu1XUYC4y,0,7,0.441,-5.319,0,0.0874,80.794,4,https://api.spotify.com/v1/tracks/4ZOkuIDN8wRczzu1XUYC4y,audio_features,spotify:track:4ZOkuIDN8wRczzu1XUYC4y,0.485
2010,Trey Songz Featuring Fabolous,Say Aah,2fQ6sBFWaLv2Gxos4igHLy,0.00453,https://api.spotify.com/v1/audio-analysis/2fQ6sBFWaLv2Gxos4igHLy,0.724,207547,0.87,,2fQ6sBFWaLv2Gxos4igHLy,0,1,0.833,-3.614,0,0.113,93.01,4,https://api.spotify.com/v1/tracks/2fQ6sBFWaLv2Gxos4igHLy,audio_features,spotify:track:2fQ6sBFWaLv2Gxos4igHLy,0.81
2010,Trey Songz,Neighbors Know My Name,6jvvpPJQJy5rMOEkLlADl6,0.0379,https://api.spotify.com/v1/audio-analysis/6jvvpPJQJy5rMOEkLlADl6,0.663,186307,0.693,,6jvvpPJQJy5rMOEkLlADl6,0,7,0.162,-5.776,0,0.0635,120.026,4,https://api.spotify.com/v1/tracks/6jvvpPJQJy5rMOEkLlADl6,audio_features,spotify:track:6jvvpPJQJy5rMOEkLlADl6,0.391
2010,Usher Featuring Plies,Hey Daddy (Daddy's Home),1kLYMOFEzQX9PgdKB7VkSL,0.000299,https://api.spotify.com/v1/audio-analysis/1kLYMOFEzQX9PgdKB7VkSL,0.402,256293,0.741,,1kLYMOFEzQX9PgdKB7VkSL,0,11,0.203,-3.822,1,0.0411,127.835,5,https://api.spotify.com/v1/tracks/1kLYMOFEzQX9PgdKB7VkSL,audio_features,spotify:track:1kLYMOFEzQX9PgdKB7VkSL,0.356
2010,Mary J. Blige,I Am,4gGYiGsxhPYpsGIttWLwlT,0.0663,https://api.spotify.com/v1/audio-analysis/4gGYiGsxhPYpsGIttWLwlT,0.599,237493,0.565,,4gGYiGsxhPYpsGIttWLwlT,0,11,0.207,-4.663,0,0.0334,82.251,4,https://api.spotify.com/v1/tracks/4gGYiGsxhPYpsGIttWLwlT,audio_features,spotify:track:4gGYiGsxhPYpsGIttWLwlT,0.576
2010,Chris Brown Featuring Tyga & Kevin McCall,Deuces,0k6DnZMLoEUH8NGD5zh2SE,0.0399,https://api.spotify.com/v1/audio-analysis/0k6DnZMLoEUH8NGD5zh2SE,0.823,225227,0.563,,0k6DnZMLoEUH8NGD5zh2SE,0,6,0.0851,-5.095,1,0.0443,98.031,4,https://api.spotify.com/v1/tracks/0k6DnZMLoEUH8NGD5zh2SE,audio_features,spotify:track:0k6DnZMLoEUH8NGD5zh2SE,0.682
2010,Robin Thicke,Sex Therapy,6MmxDAqXSxFS9dLQs1l7DT,0.679,https://api.spotify.com/v1/audio-analysis/6MmxDAqXSxFS9dLQs1l7DT,0.692,275147,0.521,,6MmxDAqXSxFS9dLQs1l7DT,0,3,0.216,-4.559,1,0.0301,112.024,4,https://api.spotify.com/v1/tracks/6MmxDAqXSxFS9dLQs1l7DT,audio_features,spotify:track:6MmxDAqXSxFS9dLQs1l7DT,0.373
