year,artist,song
2013,Baauer,Harlem Shake
2013,Daft Punk Featuring Pharrell Williams,Get Lucky
2013,Avicii,Wake Me Up!
2013,Icona Pop Featuring Charli XCX,I Love It
2013,Zedd Featuring Foxes,Clarity
2013,will.i.am & Britney Spears,Scream & Shout
2013,Pitbull Featuring Christina Aguilera,Feel This Moment
2013,Lady Gaga,Applause
2013,Calvin Harris Featuring Ellie Goulding,I Need Your Love
2013,Swedish House Mafia Featuring John Martin,Don't You Worry Child
2013,Lana Del Rey & Cedric Gervais,Summertime Sadness
2013,Calvin Harris Featuring Florence Welch,Sweet Nothing
2013,will.i.am Featuring Justin Bieber,#thatPOWER
2013,PSY,Gentleman
2013,Krewella,Alive
2013,PSY,Gangnam Style
2013,Britney Spears,Work B**ch!
2013,Rihanna Featuring David Guetta,Right Now
2013,Major Lazer Featuring Bruno Mars  Tyga & Mystic,Bubble Butt
2013,Hadouken!,Levitate
2013,David Guetta Featuring Ne-Yo & Akon,Play Hard
2013,Zedd Featuring Hayley Williams,Stay The Night
2013,Armin van Buuren Featuring Trevor Guthrie,This Is What It Feels Like
2013,Jennifer Lopez Featuring Pitbull,Live It Up
2013,Martin Garrix,Animals
2013,Nikki Williams,Glowing
2013,Avicii vs Nicky Romero,I Could Be The One
2013,Daft Punk Featuring Pharrell Williams,Lose Yourself To Dance
2013,Enrique Iglesias,Turn The Night Up
2013,Fergie  Q-Tip & GoonRock,A Little Party Never Killed Nobody (All We Got)
2013,Ne-Yo,Let Me Love You (Until You Learn To Love Yourself)
2013,Krewella,Live For The Night
2013,Afrojack Featuring Chris Brown,As Your Friend
2013,Icona Pop,All Night
2013,Ludacris Featuring Usher & David Guetta,Rest Of My Life
2013,Arianna Featuring Pitbull,Sexy People (The Fiat Song)
2013,Sebastian Ingrosso/Tommy Trash/John Martin,Reload
2013,Daft Punk Featuring Panda Bear,Doin' It Right
2013,Cazzette,Beam Me Up (Kill-Mode)
2013,Zedd Featuring Matthew Koma,Spectrum
2013,David Guetta Featuring Sia,She Wolf (Falling To Pieces)
2013,Daft Punk Featuring Julian Casablancas,Instant Crush
2013,Ne-Yo,Forever Now
2013,Avicii,You Make Me
2013,will.i.am Featuring Miley Cyrus,Fall Down
2013,Linkin Park X Steve Aoki,A Light That Never Comes
2013,Bingo Players Featuring Far East Movement,Get Up (Rattle)
2013,Calvin Harris Featuring Ayah Marar,Thinking About You
2013,TNGHT,Higher Ground
2013,Avicii,Hey Brother
2013,Daft Punk,Give Life Back To Music
2013,Hardwell Featuring Mitch Crown,Call Me A Spaceman
2013,Kaskade,Atmosphere
2013,Disclosure Featuring Sam Smith,Latch
2013,Priyanka Chopra Featuring Pitbull,Exotic
2013,Steve Aoki  Chris Lake & Tujamo,Boneless
2013,Daft Punk,Giorgio By Moroder
2013,Cher,Woman's World
2013,Cash Cash Featuring Bebe Rexha,Take Me Home
2013,Swedish House Mafia,Greyhound
2013,DJ Fresh Featuring Sian Evans,Louder
2013,Hardwell Featuring Amba Shepherd,Apollo
2013,NERVO,Hold On
2013,Major Lazer Featuring Busy Signal  The Flexican & FS Green,Watch Out For This (Bumaye)
2013,C2C,Down The Road
2013,Tiesto Featuring Kyler England,Take Me
2013,Calvin Harris Featuring Tinie Tempah,Drinking From The Bottle
2013,Daft Punk,Contact
2013,Krewella,One Minute
2013,Alexis Jordan,Acid Rain
2013,Ono Featuring Dave Aude,Hold Me
2013,DJ Pauly D Featuring Jay Sean,Back To Love
2013,will.i.am,Bang Bang
2013,Havana Brown,Flashing Lights
2013,Kylie Minogue,Skirt
2013,Dirty South & Alesso Featuring Ruben Haze,City Of Dreams
2013,Mat Zo & Porter Robinson,Easy
2013,Lindsey Stirling,Crystallize
2013,Ono,Walking On Thin Ice 2013
2013,Chris Cox + DJ Frankie Featuring Crystal Waters,Oh Mama Hey
2013,Cazzette,Weapon
2013,Kerli,The Lucky Ones
2013,Tony Moran VS Deborah Cooper,Heartbeat
2013,Avicii,Addicted To You
2013,Duck Sauce,It's You
2013,David Guetta Featuring Taped Rai,Just One Last Time
2013,Empire Of The Sun,DNA
2013,Kat DeLuna,Stars
2013,Calvin Harris & Alesso Featuring Hurts,Under Control
2013,Krewella,Come & Get It
2013,Otto Knows,Million Voices
2013,Sophi,This Is Our Love
2013,Diplo GTA,Boy Oh Boy
2013,Team Pitbull Featuring David Rush & Pitbull,All Night
2013,Pet Shop Boys,Vocal
2013,Justice,D.A.N.C.E.
2013,Diplo Featuring Nicky Da B,Express Yourself
2013,Flux Pavilion,I Can't Stop
2013,Antoine Clamaran Featuring Fenja,This is My Goodbye
2014,DJ Snake & Lil Jon,Turn Down For What
2014,Avicii,Wake Me Up!
2014,Calvin Harris,Summer
2014,Clean Bandit Featuring Jess Glynne,Rather Be
2014,Disclosure Featuring Sam Smith,Latch
2014,Ariana Grande Featuring Zedd,Break Free
2014,Avicii,Hey Brother
2014,Martin Garrix,Animals
